"Hey, what do you call a fairy without wings?",I don't know. What?,Nothing! Who'd want to call a wingless fairy?!,"Don't even bother, Bibble. They're not worth it.","What's the matter, Elina? Jealous?"
Whoa!,"Thanks, Dandelion.",Don't let 'em get to you.,"'Course not. So, what did the fairies want?",It was weird. They said we should go home right away.
Really? Why?,"""Something bad is happening in the Magic Meadow.""",Hm... Looks fine to me.,"Yeah, to me too. Maybe they were playing a joke on us or something.",Yeah. Maybe.
Hey. See that seed pod?,Yeah...,"All the way to the flower sprites, just past the purple rock.",Easy! Ready to play catcher?,Bibble! Are you OK?
Oh...,"Hey, you! Dandelion! Hey!",You guys come back for more?,"OK, hello! We're trying to do you a favour. But, hey, if you don't care that Topaz has been kidnapped, that's fine with us.",Wait!
Topaz has been kidnapped?,That's what everyone's saying. Haven't you noticed that you're like the only fairies out in the Meadow?,Has anyone told the Enchantress?,Please! Like the Enchantress needs us to tell her what's going on in Fairytopia.,Wait. Why are you telling us this? It's almost... nice.
Just because we make fun of you that doesn't mean that we want you and No Fly Zone here kidnapped by Laverna.,"Oh, come on. She doesn't really exist.","If that's what you want to think, suit yourself. We're going home where it's safe. Come on, pixies.","I'm not sure. Laverna's just a myth, right? She can't be real.","I didn't think so, but... Maybe I should go ask my mom, just in case."
Of course.,OK. See you later.,"Hi, Peony.","I can't stop thinking about what those pixies said, Bibble. I mean, Topaz can't really be kidnapped. She's too powerful and she's a guardian. Right? Bibble?",At least one of us will get a good night's sleep.
"A lullaby. Peony, you always know just what to do.",Laverna? Laverna? I know you're here. Laverna?,"You called, Topaz? Sorry I took so long. I was just putting together a little snack for us. Can I interest you in some buttercup milk and ambrosia?","I'd prefer my freedom, thanks.","""I'd prefer my freedom, thanks."" Ah, but people do get testy when they're lonely. A toast: to the end of your loneliness. Soon I'll bring you the company of all your fellow guardians. Won't that be nice? Then you'll all be together to watch me take over Fairytopia."
You'll never take over Fairytopia. The fairies are all loyal to the Enchantress.,"Oh, that's right! Why didn't I think of that? Oh, wait... I did think of that. Fungus!","Yes, your evilness?","Yes, your most vile wickedness?",Show our guest the merchandise.
"Beautiful, isn't it? My formula. It has the amazing power to weaken every flying creature in Fairytopia. Those who breathe it become so weak that they start to lose the power to fly.",But that's not possible!,"Isn't it? At this very moment, my minions are in all seven regions of Fairytopia. Little by little, the weakness will set in everywhere. Imagine. A whole land of fairies, weak, flightless and frightened. And who will be the only one who can help them? Not their beloved Enchantress and fairy guardians. Oh, no. evil laugh) The only one to answer their desperate cries for help, the only one with an antidote to their sickness...will be me. And all of Fairytopia will love me for it. So you might want to rethink that ambrosia. Since I'll soon be your queen, it'd be better for everyone if we all just got along. Don't you think?",Arh!,Ah! Tee-hee-hee?
"Bibble, you startled me.",La-la-la-la-la.,You're right. It's strange that she didn't sing to wake us up.,gasps) Peony! I don't understand. This is horrible!,"It's everywhere! The whole Magic Meadow! No one knows what it is, but now some fairies are having trouble flying."
Has anyone told Topaz?,"Topaz is gone. The closest guardian is Azura, and she's all the way in Fairy Town.",What will happen to the flowers? What'll happen to Peony?,I'm sorry. I know how much she means to you.,I think... I think I have to go to Fairy Town.
What?!,"Elina, you can't go to Fairy Town. You've never even left the Magic Meadow. The trip takes hours - and that's if you're flying and know where you're going.",You can't possibly go all by yourself!,I won't. I'll be with Bibble.,"Believe me, I don't think I can do it either."
Of course you can. And I'm coming with you!,"Thanks, Dandelion.",No problem.,Let's do it!,Gleep!
Wow. No wonder I never wanted to leave the Meadow. It's kind of spooky in here.,"Er, no, I'm not scared either.",I think we're lost.,I'll fly up and have a look.,"Hey, Elina, I think I see a way. It's over there."
Huh? What's going on?,"Dandelion, are you OK?",Maybe I just need to rest for a second.,Then you should go back home.,Leave you and Bibble? Not a chance.
"Dandelion, it has to be the sickness. You need to go home while you still can.","No. If I can't fly, I'll walk, like you.","That's crazy. I'm used to walking. You're not. It would be too hard for you. Besides, if you aren't home by dark, think what your mom would do.",She'd panic. Will you be OK without me?,We're close now. We'll be fine.
"Be careful, OK?",I will. I promise.,Goodbye!,"Honestly, Ruby, I can't tell you how happy I am you've stopped by. Which will it be: marigold muffins, or flower fluffernutters?",The fluffernutters are really very good. Mm! munches) What?
"Whatever your plan is, the Enchantress won't let you get away with it.","Ah, right, the Enchantress. My dear, dear, sister. Eternal bond that joins me to my twin, show me my sister!",Enchantress!,"Oh, please. Don't get your wings in a bunch. She's fine. Just very, very weak. Silly girl actually believed me when I swore I wanted to make peace. Never saw it coming when I slipped some of my formula in her buttercup milk. I guess she still has a soft spot for me. blows kiss) So, Ruby, you'd be wise to join Topaz and take advantage of my hospitality. After all, you'll be living under my rule for... oh, I don't know, say... forever? evil laugh)","After the hedgerow, they say ""fairy wings will guide your way"". But I don't see fairies anywhere. Ohh... Where are we now?"
"Bibble! You're a genius! ""The fairy wings will guide your way.""",Huh?,"Hello? Hi. I'm Elina, and...","Sorry, you must leave. City Hall is closed.","Bibble, we're here! Now we can see Azura!"
Out of the question. No one is seeing Azura with the sickness around. She's not even here. So be a smart fairy and run along home like everyone else.,"But, sir...",Goodbye!,"Bibble, if we can't see Azura, what are we going to do?",Larkspur! Finally. We just received a message. Ruby and Amethyst have been taken. I need you to fly to Azura and bring her the news - immediately.
"Er... Yes, sir! Right away, sir.",As for you two...Huh?,We can't lose him. He's the only one who can take us to Azura.,Of course!,Uh-oh!
"Whoa! Hang on, Bibble. Agh...",This is amazing! Come on! Follow that fairy!,"Oh, no. Bibble!",That's Azura's house. There has to be a way to get around those guards.,"Ma'am, we've received a message. Another guardian, Ruby, is missing."
"Thank you, Larkspur. You may go now.",Shh.,"You! I know you're there. Leave immediately, or I'm calling my guards.","Er, no! I mean... I'm Elina and this is Bibble. I'm sorry if we startled you. We came all the way from the Magic Meadow. Our guardian is missing, our fairies can't fly, and the flowers... My home... I didn't know where else to go.",Come to the window. Slowly.
"gasps) Come in, come in! You must be exhausted.",It's beautiful.,"Please, sit. You must eat. You've had a long journey and you need nourishment. And of course you must be thirsty.",Bon appétit. Elina: Um... Aren't we waiting for the rest of your company?,"Oh, no. Those are set out for my friends - the friends I haven't met yet."
Huh? puzzled noises),"You know, you have the rainbow in your eyes. That's a sign you're destined for great things.","Yeah, right. I'm different, that's all. Not great.",You might be surprised.,"You must be tired, too. Come, let me give you a place to sleep."
But what about the Magic Meadow? Can you help?,I think I know exactly what to do.,"Is everything all right, Elina?","I was thinking about my flower, Peony.","The Magic Meadow isn't the only place with problems. All of Fairytopia is in danger, and I believe it's because of Laverna."
I thought she was a myth.,"Oh, no, she's real. And as callous and selfish as our Enchantress is loving. I'm leaving in the morning. I need to see a dryad named Dahlia, who lives in the Wildering Wood. She used to follow Laverna and might know how to stop her. Elina, may I ask you a favour?",Anything.,I want you to hold something for me.,"Your necklace... Oh, it's beautiful. I can't take this."
"It's just for now. My trip to Dahlia will be quite dangerous, and I want my necklace to stay safe.","But, Azura, if it's so dangerous, why are you going? Isn't there another way?",Not if I want to keep my friends from harm. It's a sacrifice I'm willing to make for them.,For the friends you haven't met.,And for the ones I have. Now get some rest. I'll see you in the morning before I take my trip. Perhaps.
Bibble? Bibble!,Waagh! helpless laughter) feigned indignation),"Bibble, I need a favour, and you're the only puffball for the job.",proud exclamation),"It's very important that you find Hue. He lives several branches to the south. When you find him, hand him this scroll. He'll know what to do."
